,winner,loser,match score
2010,Maxime Janvier,Geoffrey Blancaneaux,64 63 
2011,Tobias Kamke,Rajeev Ram,26 75 63 
2012,Bradley Klahn,John-Patrick Smith,62 63 
2013,Jozef Kovalik,Igor Sijsling,64 (RET)
2014,Stefan Kozlov,Corentin Moutet,26 75 64 
2015,Filip Krajinovic,Sam Groth,36 763 62 
2016,Denis Kudla,Vaclav Safranek,64 61 
2017,Mackenzie McDonald,Akira Santillan,61 64 
2018,Vincent Millot,Miljan Zekic,63 64 
2019,Stefano Napolitano,Lorenzo Giustino,64 64 
2020,Reilly Opelka,Daniel Munoz de la Nava,46 764 64 
2021,Oscar Otte,Mitchell Krueger,62 61 
2022,Matija Pecotic,Gregoire Barrere,57 75 63 
2023,Marc Polmans,Michael Mmoh,46 763 41 (RET)
2024,Dmitry Popko,Ruben Ramirez Hidalgo,62 64 
2025,Roberto Quiroz,Aldin Setkic,64 46 64 
2026,Gleb Sakharov,Federico Gaio,64 675 763 
2027,Jan Satral,Lukas Rosol,62 36 762 
2028,Tim Smyczek,James McGee,62 60 
2029,Pedro Sousa,Andrew Whittington,64 61 
2030,Yasutaka Uchiyama,Daniel Gimeno-Traver,764 64 
2031,Gilles Muller,Ivo Karlovic,765 764 
2032,Ivo Karlovic,Marin Cilic,764 57 762 
2033,Gilles Muller,Alexander Zverev,765 62 
2034,Marin Cilic,Vasek Pospisil,63 75 
2035,Alexander Zverev,Julien Benneteau,60 64 
2036,Ivo Karlovic,Daniil Medvedev,64 64 
2037,Gilles Muller,Aljaz Bedene,63 36 64 
2038,Marin Cilic,Janko Tipsarevic,676 62 64 
2039,Alexander Zverev,Adrian Mannarino,62 63 
2040,Ivo Karlovic,Stefan Kozlov,64 61 
2041,Gilles Muller,Andreas Seppi,765 64 
2042,Julien Benneteau,Nicolas Mahut,36 62 62 
2043,Aljaz Bedene,Ernesto Escobedo,63 64 
2044,Daniil Medvedev,Thanasi Kokkinakis,63 763 
2045,Vasek Pospisil,Alexandr Dolgopolov,762 42 (RET)
2046,Alexandr Dolgopolov,Steve Darcis,62 763 
2047,Daniil Medvedev,Robin Haase,765 36 63 
2048,Nicolas Mahut,Dennis Novikov,63 64 
2049,Aljaz Bedene,Denis Istomin,36 62 61 
2050,Julien Benneteau,Evgeny Donskoy,36 64 765 
2051,Ernesto Escobedo,Jason Jung,64 62 
2052,Thanasi Kokkinakis,Mikhail Youzhny,64 75 
2053,Stefan Kozlov,Dustin Brown,63 36 63 
2054,Adrian Mannarino,Jordan Thompson,64 61 
2055,Vasek Pospisil,Tallon Griekspoor,75 61 
2056,Andreas Seppi,Tatsuma Ito,63 36 63 
2057,Janko Tipsarevic,Yuichi Sugita,765 36 60 
2058,Daniil Medvedev,Tim Smyczek,57 64 64 
2059,Vasek Pospisil,Stefanos Tsitsipas,61 767 
2060,Tatsuma Ito,Julien Benneteau,64 64 
2061,Dennis Novikov,Jason Jung,766 62 
2062,Daniil Medvedev,Rajeev Ram,64 62 
2063,Vasek Pospisil,Matwe Middelkoop,679 61 63 
2064,Julien Benneteau,Aldin Setkic,64 64 
2065,Jason Jung,Mitchell Krueger,61 64 
2066,Tim Smyczek,Egor Gerasimov,63 46 64 
2067,Stefanos Tsitsipas,Benjamin Becker,675 63 75 
2068,Tatsuma Ito,Soonwoo Kwon,764 57 62 
2069,Dennis Novikov,Ilya Ivashka,75 763 
2070,Lucas Pouille,Feliciano Lopez,46 765 64 
2071,Lucas Pouille,Benoit Paire,765 75 
2072,Feliciano Lopez,Mischa Zverev,672 764 75 
2073,Feliciano Lopez,Tomas Berdych,674 63 64 
2074,Lucas Pouille,Philipp Kohlschreiber,64 26 63 
2075,Mischa Zverev,Tommy Haas,64 64 
2076,Benoit Paire,Jerzy Janowicz,61 764 
2077,Tommy Haas,Roger Federer,26 768 64 
2078,Jerzy Janowicz,Grigor Dimitrov,764 63 
2079,Tomas Berdych,Bernard Tomic,764 62 
2080,Lucas Pouille,Jan-Lennard Struff,46 765 768 
2081,Philipp Kohlschreiber,Steve Johnson,763 57 766 
2082,Mischa Zverev,Yannick Hanfmann,761 62 
2083,Feliciano Lopez,Jeremy Chardy,63 36 62 
2084,Benoit Paire,Peter Gojowczyk,62 64 
2085,Steve Johnson,Maximilian Marterer,36 762 64 
2086,Mischa Zverev,Malek Jaziri,63 61 
2087,Feliciano Lopez,Gilles Simon,63 63 
2088,Benoit Paire,Viktor Troicki,64 64 
2089,Jeremy Chardy,Florian Mayer,763 46 761 
2090,Peter Gojowczyk,Nikoloz Basilashvili,26 63 61 
2091,Tommy Haas,Pierre-Hugues Herbert,63 46 75 
2092,Yannick Hanfmann,Marton Fucsovics,63 75 
2093,Jerzy Janowicz,Andrey Kuznetsov,64 36 63 
2094,Philipp Kohlschreiber,Marcos Baghdatis,61 (RET)
2095,Jan-Lennard Struff,Lukas Lacko,64 763 
2096,Bernard Tomic,Stephane Robert,61 57 62 
2097,Lukas Lacko,Alexander Bublik,63 75 
2098,Peter Gojowczyk,Ruben Bemelmans,64 764 
2099,Marton Fucsovics,Marco Chiudinelli,75 75 
2100,Yannick Hanfmann,Yannick Maden,64 61 
2101,Lukas Lacko,Daniel Brands,63 64 
2102,Ruben Bemelmans,Yasutaka Uchiyama,16 63 764 
2103,Marco Chiudinelli,Taylor Fritz,75 46 63 
2104,Peter Gojowczyk,Daniel Masur,57 63 62 
2105,Alexander Bublik,Mirza Basic,75 63 
2106,Marton Fucsovics,Daniel Altmaier,63 64 
2107,Yannick Maden,Vincent Millot,75 57 61 
2108,Yannick Hanfmann,Lukas Rosol,63 26 64 
2109,Roger Federer,Alexander Zverev,61 63 
2110,Roger Federer,Karen Khachanov,64 765 
2111,Alexander Zverev,Richard Gasquet,46 64 63 
2112,Roger Federer,Florian Mayer,63 64 
2113,Alexander Zverev,Roberto Bautista Agut,676 761 61 
2114,Richard Gasquet,Robin Haase,61 36 61 
2115,Karen Khachanov,Andrey Rublev,768 46 63 
2116,Roger Federer,Mischa Zverev,764 64 
2117,Robin Haase,Dominic Thiem,63 767 
2118,Karen Khachanov,Kei Nishikori,32 (RET)
2119,Alexander Zverev,Philipp Kohlschreiber,63 64 
2120,Florian Mayer,Lucas Pouille,676 64 63 
2121,Roberto Bautista Agut,Dustin Brown,64 16 766 
2122,Richard Gasquet,Bernard Tomic,63 63 
2123,Andrey Rublev,Mikhail Youzhny,60 36 63 
2124,Roger Federer,Yuichi Sugita,63 61 
2125,Dominic Thiem,Maximilian Marterer,75 63 
2126,Kei Nishikori,Fernando Verdasco,677 63 64 
2127,Alexander Zverev,Paolo Lorenzi,63 62 
2128,Richard Gasquet,Gael Monfils,36 64 63 
2129,Lucas Pouille,Jan-Lennard Struff,16 63 64 
2130,Roberto Bautista Agut,Carlos Berlocq,60 46 62 
2131,Andrey Rublev,Albert Ramos-Vinolas,671 75 64 
2132,Dustin Brown,Vasek Pospisil,61 673 764 
2133,Robin Haase,David Ferrer,36 75 63 
2134,Karen Khachanov,Gilles Simon,62 672 63 
2135,Philipp Kohlschreiber,Joao Sousa,36 64 64 
2136,Florian Mayer,Benoit Paire,60 64 
2137,Bernard Tomic,Tommy Haas,64 64 
2138,Mikhail Youzhny,Ivo Karlovic,63 766 
2139,Mischa Zverev,Lukas Lacko,64 64 
2140,Mikhail Youzhny,Yuichi Sugita,765 6711 7612 
2141,Lukas Lacko,Andreas Seppi,64 75 
2142,Vasek Pospisil,Ernesto Escobedo,42 (RET)
2143,Maximilian Marterer,Alexander Bublik,60 63 
2144,Yuichi Sugita,Yannick Hanfmann,75 61 
2145,Maximilian Marterer,Denis Istomin,765 763 
2146,Andreas Seppi,Daniel Masur,63 63 
2147,Ernesto Escobedo,Luca Vanni,63 762 
2148,Alexander Bublik,Andrey Kuznetsov,26 64 64 
2149,Vasek Pospisil,Daniel Altmaier,62 61 
2150,Mikhail Youzhny,Benjamin Becker,63 64 
2151,Lukas Lacko,Ruben Bemelmans,64 63 
2152,Feliciano Lopez,Marin Cilic,46 762 768 
2153,Marin Cilic,Gilles Muller,63 57 64 
2154,Feliciano Lopez,Grigor Dimitrov,75 36 62 
2155,Marin Cilic,Donald Young,64 75 
2156,Grigor Dimitrov,Daniil Medvedev,63 36 63 
2157,Feliciano Lopez,Tomas Berdych,765 671 75 
2158,Gilles Muller,Sam Querrey,64 765 
2159,Marin Cilic,Stefan Kozlov,60 64 
2160,Gilles Muller,Jo-Wilfried Tsonga,64 64 
2161,Grigor Dimitrov,Julien Benneteau,46 63 64 
2162,Tomas Berdych,Denis Shapovalov,764 674 75 
2163,Feliciano Lopez,Jeremy Chardy,61 764 
2164,Daniil Medvedev,Thanasi Kokkinakis,62 62 
2165,Sam Querrey,Jordan Thompson,763 36 63 
2166,Donald Young,Viktor Troicki,63 64 
2167,Jordan Thompson,Andy Murray,764 62 
2168,Feliciano Lopez,Stan Wawrinka,764 75 
2169,Thanasi Kokkinakis,Milos Raonic,765 768 
2170,Marin Cilic,John Isner,75 63 
2171,Jo-Wilfried Tsonga,Adrian Mannarino,62 62 
2172,Grigor Dimitrov,Ryan Harrison,63 61 
2173,Tomas Berdych,Steve Darcis,75 63 
2174,Donald Young,Nick Kyrgios,763 (RET)
2175,Julien Benneteau,James Ward,62 62 
2176,Jeremy Chardy,Liam Broady,64 64 
2177,Stefan Kozlov,Steve Johnson,36 61 61 
2178,Daniil Medvedev,Nicolas Mahut,673 64 64 
2179,Gilles Muller,Nikoloz Basilashvili,64 6717 64 
2180,Sam Querrey,Cameron Norrie,61 64 
2181,Denis Shapovalov,Kyle Edmund,764 46 64 
2182,Viktor Troicki,Janko Tipsarevic,57 765 766 
2183,Stefan Kozlov,Pierre-Hugues Herbert,64 62 
2184,Jeremy Chardy,Jordan Thompson,46 64 63 
2185,Julien Benneteau,Tobias Kamke,75 64 
2186,Denis Shapovalov,Liam Broady,64 64 
2187,Liam Broady,Frances Tiafoe,61 672 62 
2188,Tobias Kamke,Jared Donaldson,61 764 
2189,Pierre-Hugues Herbert,Stefano Napolitano,61 64 
2190,Jeremy Chardy,Edward Corrie,64 57 63 
2191,Jordan Thompson,Denis Kudla,57 767 62 
2192,Julien Benneteau,Akira Santillan,63 61 
2193,Denis Shapovalov,Reilly Opelka,63 36 766 
2194,Stefan Kozlov,Kenny De Schepper,674 63 64 
2195,Yuichi Sugita,Adrian Mannarino,61 764 
2196,Adrian Mannarino,Andreas Seppi,64 64 
2197,Yuichi Sugita,Marcos Baghdatis,63 677 41 (RET)
2198,Adrian Mannarino,Fernando Verdasco,26 75 62 
2199,Marcos Baghdatis,Ramkumar Ramanathan,670 63 766 
2200,Andreas Seppi,Radu Albot,64 763 
2201,Yuichi Sugita,Daniel Altmaier,63 60 
2202,Ramkumar Ramanathan,Dominic Thiem,63 62 
2203,Radu Albot,Paolo Lorenzi,63 64 
2204,Fernando Verdasco,Steve Darcis,63 64 
2205,Yuichi Sugita,David Ferrer,63 36 762 
2206,Daniel Altmaier,Marsel Ilhan,63 36 765 
2207,Marcos Baghdatis,Carlos Berlocq,64 36 75 
2208,Adrian Mannarino,Mohamed Safwat,64 64 
2209,Andreas Seppi,Janko Tipsarevic,36 64 64 
2210,Carlos Berlocq,Viktor Troicki,36 62 64 
2211,Adrian Mannarino,Borna Coric,75 64 
2212,Marsel Ilhan,Martin Klizan,66 (RET)
2213,Radu Albot,Joao Sousa,762 62 
2214,Daniel Altmaier,Victor Estrella Burgos,75 678 765 
2215,Marcos Baghdatis,Nikoloz Basilashvili,62 61 
2216,Steve Darcis,Denis Istomin,64 675 64 
2217,Ramkumar Ramanathan,Rogerio Dutra Silva,63 64 
2218,Mohamed Safwat,Cem Ilkel,46 63 767 
2219,Andreas Seppi,Kamil Majchrzak,62 761 
2220,Yuichi Sugita,Matthew Ebden,61 63 
2221,Janko Tipsarevic,Lloyd Harris,75 63 
2222,Ramkumar Ramanathan,Yannick Mertens,63 64 
2223,Matthew Ebden,Daniel Altmaier,64 57 64 
2224,Kamil Majchrzak,Lloyd Harris,765 61 
2225,Mohamed Safwat,Alexey Vatutin,64 64 
2226,Ramkumar Ramanathan,Andrey Yakovlev,60 60 
2227,Daniel Altmaier,Anil Yuksel,63 64 
2228,Lloyd Harris,Alexander Kudryavtsev,765 765 
2229,Alexey Vatutin,Roman Jebavy,64 63 
2230,Kamil Majchrzak,Jaume Munar,64 62 
2231,Mohamed Safwat,Danilo Petrovic,764 36 63 
2232,Yannick Mertens,Altug Celikbilek,62 64 
2233,Matthew Ebden,Sarp Agabigun,61 63 
2234,Novak Djokovic,Gael Monfils,63 64 
2235,Novak Djokovic,Daniil Medvedev,64 64 
2236,Gael Monfils,Richard Gasquet,62 677 764 
2237,Novak Djokovic,Donald Young,62 769 
2238,Gael Monfils,Bernard Tomic,764 60 
2239,Richard Gasquet,John Isner,63 62 
2240,Daniil Medvedev,Steve Johnson,63 26 63 
2241,Novak Djokovic,Vasek Pospisil,64 63 
2242,Gael Monfils,Cameron Norrie,63 62 
2243,John Isner,Dusan Lajovic,36 762 764 
2244,Steve Johnson,Thomas Fabbiano,63 57 64 
2245,Bernard Tomic,Mischa Zverev,63 62 
2246,Richard Gasquet,Kevin Anderson,64 64 
2247,Daniil Medvedev,Robin Haase,46 61 62 
2248,Donald Young,Jared Donaldson,64 75 
2249,Daniil Medvedev,Sam Querrey,63 75 
2250,Mischa Zverev,Ryan Harrison,64 769 
2251,Richard Gasquet,Frances Tiafoe,57 764 63 
2252,Jared Donaldson,Diego Schwartzman,765 36 75 
2253,Kevin Anderson,Thomaz Bellucci,63 61 
2254,Thomas Fabbiano,Franko Skugor,765 64 
2255,Robin Haase,Nicolas Mahut,64 764 
2256,Dusan Lajovic,Jeremy Chardy,64 675 63 
2257,Cameron Norrie,Horacio Zeballos,64 764 
2258,Vasek Pospisil,Jiri Vesely,63 64 
2259,Bernard Tomic,Norbert Gombos,763 63 
2260,Donald Young,Kyle Edmund,64 36 63 
2261,Vasek Pospisil,Ivan Dodig,(W/O)
2262,Franko Skugor,Andrey Kuznetsov,26 64 64 
2263,Norbert Gombos,Luke Bambridge,62 62 
2264,Thomas Fabbiano,Ti Chen,61 64 
2265,Vasek Pospisil,James Ward,61 64 
2266,Andrey Kuznetsov,Takanyi Garanganga,60 63 
2267,Norbert Gombos,Luke Saville,64 762 
2268,Thomas Fabbiano,Andres Molteni,61 61 
2269,Franko Skugor,Jerzy Janowicz,763 765 
2270,Ivan Dodig,Steven Diez,36 63 75 
2271,Luke Bambridge,Marek Jaloviec,64 64 
2272,Ti Chen,Michal Konecny,26 764 75 
2273,Roger Federer,Marin Cilic,63 61 64 
2274,Roger Federer,Tomas Berdych,764 764 64 
2275,Marin Cilic,Sam Querrey,676 64 763 75 
2276,Sam Querrey,Andy Murray,36 64 674 61 61 
2277,Tomas Berdych,Novak Djokovic,762 20 (RET)
2278,Roger Federer,Milos Raonic,64 62 764 
2279,Marin Cilic,Gilles Muller,36 766 75 57 61 
2280,Andy Murray,Benoit Paire,761 64 64 
2281,Novak Djokovic,Adrian Mannarino,62 765 64 
2282,Roger Federer,Grigor Dimitrov,64 62 64 
2283,Gilles Muller,Rafael Nadal,63 64 36 46 1513 
2284,Milos Raonic,Alexander Zverev,46 75 46 75 61 
2285,Marin Cilic,Roberto Bautista Agut,62 62 62 
2286,Tomas Berdych,Dominic Thiem,63 671 63 36 63 
2287,Sam Querrey,Kevin Anderson,57 765 63 6711 63 
2288,Andy Murray,Fabio Fognini,62 46 61 75 
2289,Novak Djokovic,Ernests Gulbis,64 61 762 
2290,Roger Federer,Mischa Zverev,763 64 64 
2291,Rafael Nadal,Karen Khachanov,61 64 763 
2292,Milos Raonic,Albert Ramos-Vinolas,763 64 75 
2293,Marin Cilic,Steve Johnson,64 763 64 
2294,Dominic Thiem,Jared Donaldson,75 64 62 
2295,Roberto Bautista Agut,Kei Nishikori,64 763 36 63 
2296,Alexander Zverev,Sebastian Ofner,64 64 62 
2297,Tomas Berdych,David Ferrer,63 64 63 
2298,Sam Querrey,Jo-Wilfried Tsonga,62 36 765 16 75 
2299,Grigor Dimitrov,Dudi Sela,61 61 (RET)
2300,Adrian Mannarino,Gael Monfils,763 46 57 63 62 
2301,Gilles Muller,Aljaz Bedene,764 75 64 
2302,Kevin Anderson,Ruben Bemelmans,763 64 763 
2303,Benoit Paire,Jerzy Janowicz,62 763 63 
2304,Andy Murray,Dustin Brown,63 62 62 
2305,Novak Djokovic,Adam Pavlasek,62 62 61 
2306,Roger Federer,Dusan Lajovic,760 63 62 
2307,Rafael Nadal,Donald Young,64 62 75 
2308,Milos Raonic,Mikhail Youzhny,36 767 64 75 
2309,Marin Cilic,Florian Mayer,762 64 75 
2310,Dominic Thiem,Gilles Simon,57 64 62 64 
2311,Kei Nishikori,Sergiy Stakhovsky,64 677 61 766 
2312,Alexander Zverev,Frances Tiafoe,63 64 63 
2313,Tomas Berdych,Ryan Harrison,64 63 678 63 
2314,Jo-Wilfried Tsonga,Simone Bolelli,61 75 62 
2315,Grigor Dimitrov,Marcos Baghdatis,63 62 61 
2316,Jerzy Janowicz,Lucas Pouille,764 765 36 61 
2317,Gael Monfils,Kyle Edmund,761 64 64 
2318,Gilles Muller,Lukas Rosol,75 677 46 63 97 
2319,Sebastian Ofner,Jack Sock,63 64 36 26 62 
2320,Roberto Bautista Agut,Peter Gojowczyk,62 61 36 63 
2321,Dudi Sela,John Isner,675 765 57 765 63 
2322,Sam Querrey,Nikoloz Basilashvili,64 46 63 63 
2323,Albert Ramos-Vinolas,Andrey Rublev,75 676 46 63 64 
2324,Steve Johnson,Radu Albot,63 63 46 63 
2325,Mischa Zverev,Mikhail Kukushkin,61 62 26 36 64 
2326,Fabio Fognini,Jiri Vesely,763 64 62 
2327,Ernests Gulbis,Juan Martin del Potro,64 64 763 
2328,Karen Khachanov,Thiago Monteiro,36 765 763 75 
2329,Jared Donaldson,Paolo Lorenzi,64 760 670 62 
2330,Kevin Anderson,Andreas Seppi,63 764 63 
2331,Aljaz Bedene,Damir Dzumhur,63 36 63 63 
2332,Ruben Bemelmans,Daniil Medvedev,64 62 36 26 63 
2333,David Ferrer,Steve Darcis,30 (RET)
2334,Adrian Mannarino,Yuichi Sugita,61 57 46 762 62 
2335,Benoit Paire,Pierre-Hugues Herbert,764 61 64 
2336,Andy Murray,Alexander Bublik,61 64 62 
2337,Novak Djokovic,Martin Klizan,63 20 (RET)
2338,Roger Federer,Alexandr Dolgopolov,63 30 (RET)
2339,Rafael Nadal,John Millman,61 63 62 
2340,Daniil Medvedev,Stan Wawrinka,64 36 64 61 
2341,Milos Raonic,Jan-Lennard Struff,765 62 764 
2342,Marin Cilic,Philipp Kohlschreiber,64 62 63 
2343,Dominic Thiem,Vasek Pospisil,64 64 63 
2344,Kei Nishikori,Marco Cecchinato,62 62 60 
2345,Alexander Zverev,Evgeny Donskoy,64 763 63 
2346,Tomas Berdych,Jeremy Chardy,63 36 764 64 
2347,Jo-Wilfried Tsonga,Cameron Norrie,63 62 62 
2348,Grigor Dimitrov,Diego Schwartzman,764 62 62 
2349,Lucas Pouille,Malek Jaziri,675 64 64 762 
2350,Gael Monfils,Daniel Brands,63 75 64 
2351,Gilles Muller,Marton Fucsovics,75 64 62 
2352,Jack Sock,Christian Garin,63 46 764 63 
2353,Roberto Bautista Agut,Andreas Haider-Maurer,63 61 62 
2354,Adrian Mannarino,Feliciano Lopez,57 61 61 43 (RET)
2355,Pierre-Hugues Herbert,Nick Kyrgios,63 64 (RET)
2356,Aljaz Bedene,Ivo Karlovic,675 766 677 767 86 
2357,David Ferrer,Richard Gasquet,63 64 57 62 
2358,John Isner,Taylor Fritz,64 763 63 
2359,Sam Querrey,Thomas Fabbiano,765 75 62 
2360,Albert Ramos-Vinolas,Jordan Thompson,64 64 764 
2361,Steve Johnson,Nicolas Kicker,64 75 63 
2362,Mischa Zverev,Bernard Tomic,64 63 64 
2363,Fabio Fognini,Dmitry Tursunov,61 63 63 
2364,Juan Martin del Potro,Thanasi Kokkinakis,63 36 762 64 
2365,Karen Khachanov,Andrey Kuznetsov,764 26 63 16 62 
2366,Kevin Anderson,Fernando Verdasco,26 765 768 63 
2367,Paolo Lorenzi,Horacio Zeballos,763 46 768 75 
2368,Radu Albot,Facundo Bagnis,46 64 769 763 
2369,Marcos Baghdatis,James Ward,64 64 63 
2370,Nikoloz Basilashvili,Carlos Berlocq,64 763 61 
2371,Ruben Bemelmans,Tommy Haas,62 36 63 75 
2372,Simone Bolelli,Yen-Hsun Lu,63 16 63 64 
2373,Dustin Brown,Joao Sousa,36 765 64 64 
2374,Steve Darcis,Ricardas Berankis,46 63 26 64 63 
2375,Jared Donaldson,Janko Tipsarevic,50 (RET)
2376,Damir Dzumhur,Renzo Olivo,62 60 61 
2377,Kyle Edmund,Alexander Ward,46 63 62 61 
2378,Peter Gojowczyk,Marius Copil,765 26 63 61 
2379,Ernests Gulbis,Victor Estrella Burgos,61 61 62 
2380,Ryan Harrison,Borna Coric,764 64 766 
2381,Jerzy Janowicz,Denis Shapovalov,64 36 63 762 
2382,Mikhail Kukushkin,Taro Daniel,46 64 764 62 
2383,Dusan Lajovic,Stefanos Tsitsipas,64 64 64 
2384,Florian Mayer,Viktor Troicki,61 (RET)
2385,Thiago Monteiro,Andrew Whittington,46 63 764 765 
2386,Sebastian Ofner,Thomaz Bellucci,62 63 62 
2387,Benoit Paire,Rogerio Dutra Silva,64 36 7610 64 
2388,Adam Pavlasek,Ernesto Escobedo,677 61 63 61 
2389,Lukas Rosol,Henri Laaksonen,46 75 63 64 
2390,Andrey Rublev,Stefano Travaglia,673 63 75 16 75 
2391,Dudi Sela,Marcel Granollers,46 63 16 62 61 
2392,Andreas Seppi,Norbert Gombos,62 36 62 61 
2393,Gilles Simon,Nicolas Jarry,764 63 63 
2394,Sergiy Stakhovsky,Julien Benneteau,63 768 26 62 
2395,Yuichi Sugita,Brydan Klein,765 63 60 
2396,Frances Tiafoe,Robin Haase,63 36 765 75 
2397,Jiri Vesely,Illya Marchenko,61 46 46 75 61 
2398,Donald Young,Denis Istomin,57 64 64 42 (RET)
2399,Mikhail Youzhny,Nicolas Mahut,62 75 64 
2400,Peter Gojowczyk,Lukas Lacko,75 62 63 
2401,Andrey Rublev,Paul-Henri Mathieu,64 16 7611 64 
2402,Lukas Rosol,Darian King,64 36 63 64 
2403,Illya Marchenko,Marcus Willis,64 61 764 
2404,Sergiy Stakhovsky,Tatsuma Ito,63 671 676 64 86 
2405,Ruben Bemelmans,Gerald Melzer,64 75 63 
2406,Stefano Travaglia,Peter Polansky,64 46 36 64 64 
2407,Daniel Brands,Alexander Bublik,63 36 46 62 1210 
2408,Taylor Fritz,Vincent Millot,63 75 64 
2409,Simone Bolelli,Pedro Sousa,62 63 62 
2410,Christian Garin,John-Patrick Smith,46 767 64 46 1210 
2411,Nicolas Jarry,Dennis Novikov,46 63 64 64 
2412,Sebastian Ofner,Jay Clarke,26 679 64 64 61 
2413,Stefanos Tsitsipas,Joris De Loore,63 36 63 36 75 
2414,Alexander Ward,Teymuraz Gabashvili,673 64 766 61 
2415,Andrew Whittington,Denis Kudla,46 26 767 763 60 
2416,Vincent Millot,Tennys Sandgren,62 765 
2417,Lukas Lacko,Andrea Arnaboldi,764 64 
2418,Andrey Rublev,James McGee,63 46 62 
2419,Alexander Ward,Go Soeda,63 61 
2420,Darian King,Bradley Klahn,36 61 64 
2421,Illya Marchenko,Benjamin Becker,36 763 64 
2422,Sergiy Stakhovsky,Roberto Quiroz,63 75 
2423,Ruben Bemelmans,Mathias Bourgue,64 36 63 
2424,Peter Polansky,Aleksandr Nedovyesov,75 63 
2425,Nicolas Jarry,Konstantin Kravchuk,75 46 119 
2426,Alexander Bublik,Blake Mott,75 64 
2427,Paul-Henri Mathieu,Maximo Gonzalez,61 64 
2428,Taylor Fritz,Alejandro Gonzalez,61 63 
2429,Christian Garin,Bjorn Fratangelo,674 75 64 
2430,Peter Gojowczyk,Nikola Milojevic,63 765 
2431,Stefano Travaglia,Quentin Halys,75 60 
2432,Gerald Melzer,Ti Chen,75 62 
2433,Simone Bolelli,Adrian Menendez-Maceiras,64 64 
2434,Dennis Novikov,Stefan Kozlov,75 62 
2435,Daniel Brands,Calvin Hemery ,64 64 
2436,Jay Clarke,Elias Ymer,64 765 
2437,Joris De Loore,Jozef Kovalik,36 75 63 
2438,Teymuraz Gabashvili,Grega Zemlja,75 63 
2439,Tatsuma Ito,Alex de Minaur,62 64 
2440,Denis Kudla,Riccardo Bellotti,61 61 
2441,Sebastian Ofner,Miljan Zekic,64 63 
2442,Lukas Rosol,Rajeev Ram,62 16 62 
2443,John-Patrick Smith,Mackenzie McDonald,64 675 63 
2444,Pedro Sousa,Steven Diez,75 26 62 
2445,Stefanos Tsitsipas,Yannick Hanfmann,765 765 
2446,Andrew Whittington,Tim Smyczek,674 64 64 
2447,Marcus Willis,Liam Broady,762 672 62 
2448,Pedro Sousa,Alessandro Giannessi,46 63 64 
2449,Stefanos Tsitsipas,Santiago Giraldo,26 64 63 
2450,Tennys Sandgren,Michael Mmoh,63 75 
2451,Lukas Lacko,Hiroki Moriya,63 63 
2452,Andrey Rublev,Joao Domingues,63 63 
2453,Go Soeda,Inigo Cervantes,36 75 97 
2454,Riccardo Bellotti,Blaz Kavcic,61 30 (RET)
2455,Darian King,Lorenzo Giustino,64 60 
2456,Illya Marchenko,Filip Krajinovic,764 75 
2457,Calvin Hemery ,Luca Vanni,26 764 1311 
2458,Sergiy Stakhovsky,Kenny De Schepper,63 64 
2459,Ruben Bemelmans,Tristan Lamasine,36 61 63 
2460,John-Patrick Smith,Laslo Djere,62 675 62 
2461,Miljan Zekic,Maximilian Marterer,63 764 
2462,Peter Polansky,Marco Trungelliti,62 763 
2463,Konstantin Kravchuk,Matteo Donati,764 62 
2464,Rajeev Ram,Reilly Opelka,766 765 
2465,Alex de Minaur,Jurgen Melzer,26 63 63 
2466,Alexander Bublik,Daniel Gimeno-Traver,60 63 
2467,Paul-Henri Mathieu,Yannik Reuter,765 62 
2468,Taylor Fritz,Marco Chiudinelli,63 57 61 
2469,Bjorn Fratangelo,Daniel Masur,62 (RET)
2470,Peter Gojowczyk,Mirza Basic,60 63 
2471,Andrew Whittington,Stephane Robert,36 75 64 
2472,Quentin Halys,Ryan James Storrie,75 64 
2473,Teymuraz Gabashvili,Jan Satral,75 764 
2474,Gerald Melzer,Federico Coria,63 60 
2475,Adrian Menendez-Maceiras,Tobias Kamke,36 63 64 
2476,Jozef Kovalik,Roberto Carballes Baena,763 64 
2477,Elias Ymer,Duckhee Lee,63 62 
2478,Marcus Willis,Andrej Martin,75 75 
2479,Stefan Kozlov,Marc Polmans,64 75 
2480,Andrea Arnaboldi,Aldin Setkic,46 63 64 
2481,Benjamin Becker,Yasutaka Uchiyama,36 63 64 
2482,Simone Bolelli,Sam Groth,763 26 119 
2483,Mathias Bourgue,Mitchell Krueger,63 64 
2484,Daniel Brands,Oscar Otte,64 64 
2485,Liam Broady,Frank Dancevic,62 63 
2486,Ti Chen,Ricardo Ojeda Lara,765 36 62 
2487,Jay Clarke,Marcelo Arevalo,63 64 
2488,Joris De Loore,Attila Balazs,75 767 
2489,Steven Diez,Gleb Sakharov,64 64 
2490,Christian Garin,Gianluigi Quinzi,64 63 
2491,Alejandro Gonzalez,Vaclav Safranek,672 62 61 
2492,Maximo Gonzalez,Petr Michnev,63 61 
2493,Yannick Hanfmann,Federico Gaio,64 63 
2494,Tatsuma Ito,Matija Pecotic,62 62 
2495,Nicolas Jarry,Lloyd Glasspool,63 61 
2496,Bradley Klahn,Soonwoo Kwon,63 64 
2497,Denis Kudla,Akira Santillan,57 75 1311 
2498,Mackenzie McDonald,Daniel Cox,75 61 
